benchmark\N	16	32	64	128	256	512	1024
mm_mul_blocked_ikj	1.882085092	2.157469308	4.179420577	3.622736689	3.84636578	4.062932974	2.37224438
mm_mul_var_blocked_ikj	1.994821909	2.31426542	3.7119399	3.746252779	3.765650101	3.621908321	2.866885124
mm_mul_restricted_ikj	1.990169526	2.24632559	3.485329165	3.699875054	4.135399748	3.87576086	2.795865746
mm_mul_simple_ikj	1.189198909	1.545719632	2.253074094	2.518026413	2.676059367	2.727226373	2.130912676
