benchmark\N	16	32	64	128	256	512	1024	2048	4096
mm_mul_simd_ikj	2.097417871	2.757488716	5.766328205	7.42975255	7.118029513	5.830697335	5.785762048	5.520524041	3.566481482
mm_mul_blocked_ikj	1.901384829	2.894043865	5.55020064	7.554918874	6.822987711	5.84057127	5.374633616	5.435207222	3.141439486
mm_mul_var_blocked_ikj	0.3290283795	1.294925039	3.806073129	3.847722322	7.240380246	5.676212625	7.092087446	5.332183335	6.670225723
mm_mul_restricted_ikj	2.168957884	3.092899161	5.889174937	9.876510523	9.808787364	9.819802604	5.252513504	3.765309177	4.175578246
mm_mul_simple_ikj	1.871124419	3.023111961	5.876653893	6.415833191	6.617452198	4.631144811	3.613618928	2.358341274	3.202661951
